date,home_team,away_team,home_score,away_score,tournament
6/14/2018,Russia,Saudi Arabia,5,0,FIFA World Cup
6/15/2018,Egypt,Uruguay,0,1,FIFA World Cup
6/15/2018,Morocco,Iran,0,1,FIFA World Cup
6/15/2018,Portugal,Spain,3,3,FIFA World Cup
6/16/2018,France,Australia,2,1,FIFA World Cup
6/16/2018,Argentina,Iceland,1,1,FIFA World Cup
6/16/2018,Peru,Denmark,0,1,FIFA World Cup
6/16/2018,Croatia,Nigeria,2,0,FIFA World Cup
6/17/2018,Costa Rica,Serbia,0,1,FIFA World Cup
6/17/2018,Germany,Mexico,0,1,FIFA World Cup
6/17/2018,Brazil,Switzerland,1,1,FIFA World Cup
6/18/2018,Sweden,South Korea,1,0,FIFA World Cup
6/18/2018,Belgium,Panama,3,0,FIFA World Cup
6/18/2018,Tunisia,England,1,2,FIFA World Cup
6/19/2018,Colombia,Japan,1,2,FIFA World Cup
6/19/2018,Poland,Senegal,1,2,FIFA World Cup
6/19/2018,Russia,Egypt,3,1,FIFA World Cup
6/20/2018,Portugal,Morocco,1,0,FIFA World Cup
6/20/2018,Uruguay,Saudi Arabia,1,0,FIFA World Cup
6/20/2018,Iran,Spain,0,1,FIFA World Cup
6/21/2018,Denmark,Australia,1,1,FIFA World Cup
6/21/2018,France,Peru,1,0,FIFA World Cup
6/21/2018,Argentina,Croatia,0,3,FIFA World Cup
6/22/2018,Brazil,Costa Rica,2,0,FIFA World Cup
6/22/2018,Nigeria,Iceland,2,0,FIFA World Cup
6/22/2018,Serbia,Switzerland,1,2,FIFA World Cup
6/23/2018,Belgium,Tunisia,5,2,FIFA World Cup
6/23/2018,South Korea,Mexico,1,2,FIFA World Cup
6/23/2018,Germany,Sweden,2,1,FIFA World Cup
6/24/2018,England,Panama,6,1,FIFA World Cup
6/24/2018,Japan,Senegal,2,2,FIFA World Cup
6/24/2018,Poland,Colombia,0,3,FIFA World Cup
6/25/2018,Russia,Uruguay,0,3,FIFA World Cup
6/25/2018,Saudi Arabia,Egypt,2,1,FIFA World Cup
6/25/2018,Spain,Morocco,2,2,FIFA World Cup
6/25/2018,Iran,Portugal,1,1,FIFA World Cup
6/26/2018,Australia,Peru,0,2,FIFA World Cup
6/26/2018,Denmark,France,0,0,FIFA World Cup
6/26/2018,Nigeria,Argentina,1,2,FIFA World Cup
6/26/2018,Iceland,Croatia,1,2,FIFA World Cup
6/27/2018,South Korea,Germany,2,0,FIFA World Cup
6/27/2018,Mexico,Sweden,0,3,FIFA World Cup
6/27/2018,Serbia,Brazil,0,2,FIFA World Cup
6/27/2018,Switzerland,Costa Rica,2,2,FIFA World Cup
6/28/2018,Japan,Poland,0,1,FIFA World Cup
6/28/2018,Senegal,Colombia,0,1,FIFA World Cup
